Votes,Avg_Rating,Geek_Rating
31,7.55,5.538
,,
36,6.78,5.538
,,
92,6.12,5.538
,,
55,6.65,5.538
,,
42,6.71,5.538
,,
46,6.6,5.538
,,
32,7.74,5.538
,,
33,7.4,5.538
,,
30,7.08,5.538
,,
60,6.42,5.538
,,
39,6.78,5.538
,,
90,6.09,5.538
,,
40,7.04,5.538
,,
42,7.38,5.538
,,
140,6.21,5.538
,,
60,6.4,5.538
,,
132,5.94,5.538
,,
32,7.08,5.538
,,
42,6.88,5.538
,,
120,6.71,5.538
,,
182,5.86,5.538
,,
46,6.73,5.538
,,
121,5.76,5.538
,,
98,6.03,5.538
,,
41,6.74,5.538
,,
145,5.95,5.538
,,
64,6.57,5.538
,,
30,8.27,5.538
,,
57,6.6,5.538
,,
66,6.4,5.538
,,
74,6.12,5.538
,,
47,6.77,5.538
,,
31,7.17,5.538
,,
71,6.5,5.538
,,
181,5.9,5.538
,,
35,7.03,5.538
,,
39,7.13,5.538
,,
175,5.86,5.538
,,
48,6.61,5.538
,,
30,7.59,5.538
,,
55,6.5,5.537
,,
52,6.47,5.537
,,
31,7.15,5.537
,,
227,5.8,5.537
,,
53,6.51,5.537
,,
94,6.17,5.537
,,
58,6.31,5.537
,,
37,6.74,5.537
,,
66,6.32,5.537
,,
51,6.38,5.537
,,
31,7.82,5.537
,,
138,5.95,5.537
,,
105,5.98,5.537
,,
194,5.78,5.537
,,
690,5.73,5.537
,,
71,6.28,5.537
,,
41,6.62,5.537
,,
45,7.94,5.537
,,
48,7.3,5.537
,,
79,6.33,5.537
,,
70,6.4,5.537
,,
58,6.58,5.537
,,
47,7.13,5.537
,,
142,5.91,5.537
,,
60,6.28,5.537
,,
43,6.69,5.537
,,
129,5.96,5.537
,,
32,7.31,5.537
,,
37,6.94,5.537
,,
58,6.67,5.537
,,
N/A,N/A,N/A
,,
5,8.6,N/A
,,
7,8,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
3,8.33,N/A
,,
1,7,N/A
,,
9,6.89,N/A
,,
2,7.5,N/A
,,
1,3,N/A
,,
11,8.64,N/A
,,
13,8.69,N/A
,,
10,7.5,N/A
,,
N/A,N/A,N/A
,,
3,6.67,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
7,2.57,N/A
,,
1,7,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
3,8,N/A
,,
1,7,N/A
,,
4,6.5,N/A
,,
N/A,N/A,N/A
,,
1,6.8,N/A
,,
3,9.33,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
3,6.83,N/A
,,
N/A,N/A,N/A
,,
20,8,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
3,5.6,N/A
,,
N/A,N/A,N/A
,,
2,7.5,N/A
,,
1,2,N/A
,,
N/A,N/A,N/A
,,
3,8,N/A
,,
26,7.88,N/A
,,
3,9.33,N/A
,,
8,6.65,N/A
,,
2,9,N/A
,,
3,9.33,N/A
,,
3,8.33,N/A
,,
2,4,N/A
,,
21,7.48,N/A
,,
1,7,N/A
,,
N/A,N/A,N/A
,,
24,5.84,N/A
,,
3,6,N/A
,,
4,5.88,N/A
,,
175,8.13,5.804
,,
32,8.29,5.573
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
2,8,N/A
,,
1,8,N/A
,,
3,8.67,N/A
,,
15,8.83,N/A
,,
3,8.67,N/A
,,
3,8,N/A
,,
2,3.5,N/A
,,
N/A,N/A,N/A
,,
34,6.73,5.527
,,
2,6,N/A
,,
7,7.81,N/A
,,
9,9.33,N/A
,,
3,6,N/A
,,
N/A,N/A,N/A
,,
5,7.4,N/A
,,
N/A,N/A,N/A
,,
68,7.76,5.605
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
5,6.9,N/A
,,
N/A,N/A,N/A
,,
2,6,N/A
,,
15,8.4,N/A
,,
N/A,N/A,N/A
,,
3,6.67,N/A
,,
1,6,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
2,9,N/A
,,
3,9.17,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
3,7.33,N/A
,,
N/A,N/A,N/A
,,
19,7.87,N/A
,,
N/A,N/A,N/A
,,
3,8.4,N/A
,,
23,5.3,N/A
,,
2,8.5,N/A
,,
4,9,N/A
,,
24,7.88,N/A
,,
8,8.5,N/A
,,
24,9.52,N/A
,,
3,7.43,N/A
,,
1,9,N/A
,,
7,6.86,N/A
,,
12,6.46,N/A
,,
1,7,N/A
,,
N/A,N/A,N/A
,,
11,2.91,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
1,8,N/A
,,
2,8.5,N/A
,,
2,7.5,N/A
,,
N/A,N/A,N/A
,,
13,7.26,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
5,7.88,N/A
,,
2,7,N/A
,,
1,7,N/A
,,
N/A,N/A,N/A
,,
2,7.5,N/A
,,
2,7.5,N/A
,,
5,7.8,N/A
,,
4,7.5,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
3,4.33,N/A
,,
1,7,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
22,7.94,N/A
,,
161,7.83,5.714
,,
47,7.03,5.548
,,
53,7.53,5.574
,,
9,7.11,N/A
,,
2,7.5,N/A
,,
6,7.42,N/A
,,
14,7.7,N/A
,,
14,8,N/A
,,
1,5,N/A
,,
2,8,N/A
,,
N/A,N/A,N/A
,,
4,8.75,N/A
,,
1,6,N/A
,,
1,7,N/A
,,
N/A,N/A,N/A
,,
3,6,N/A
,,
N/A,N/A,N/A
,,
4,8.25,N/A
,,
2,4.75,N/A
,,
N/A,N/A,N/A
,,
10,8.18,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
1,1,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
1,4,N/A
,,
N/A,N/A,N/A
,,
11,8,N/A
,,
3,7,N/A
,,
7,8.43,N/A
,,
15,7.5,N/A
,,
8,9.06,N/A
,,
2,7.5,N/A
,,
21,6.26,N/A
,,
N/A,N/A,N/A
,,
2,7.5,N/A
,,
1,7,N/A
,,
N/A,N/A,N/A
,,
2,7.5,N/A
,,
1,6,N/A
,,
2,7.5,N/A
,,
N/A,N/A,N/A
,,
2,7,N/A
,,
2,7,N/A
,,
26,8.38,N/A
,,
3,3.67,N/A
,,
9,8.72,N/A
,,
38,8.59,5.559
,,
N/A,N/A,N/A
,,
19,7.67,N/A
,,
1,8,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
10,7.05,N/A
,,
9,7,N/A
,,
N/A,N/A,N/A
,,
3,7.17,N/A
,,
